user,employee_name,department,usb_count,gece_email,night_activity,gece_dosya_islemi,ultimate_risk_skoru
OKC0107,Personel_OKC0107,Bilişim / Finans,0.0,129.0,346,0.0,0.95
SDB0106,Personel_SDB0106,Bilişim / Finans,0.0,159.0,389,0.0,4.41
JTM0223,Personel_JTM0223,Bilişim / Finans,2.0,66.0,946,1.0,99.18
DPS0262,Personel_DPS0262,Bilişim / Finans,0.0,5.0,143,0.0,0.4
HVB0037,Personel_HVB0037,Bilişim / Finans,0.0,45.0,403,0.0,0.5
MIC0726,Personel_MIC0726,Bilişim / Finans,0.0,116.0,346,0.0,1.25
HAC0282,Personel_HAC0282,Bilişim / Finans,0.0,86.0,346,0.0,0.82
DBB0384,Personel_DBB0384,Bilişim / Finans,692.0,61.0,346,466.0,0.01
JHP0583,Personel_JHP0583,Bilişim / Finans,146.0,23.0,928,101.0,0.29
BMC0547,Personel_BMC0547,Bilişim / Finans,0.0,0.0,541,0.0,1.32
BIH0745,Personel_BIH0745,Bilişim / Finans,22.0,131.0,152,2.0,96.36
JIG0128,Personel_JIG0128,Bilişim / Finans,0.0,0.0,692,0.0,0.05
IIA0092,Personel_IIA0092,Bilişim / Finans,0.0,132.0,346,0.0,0.98
DLF0377,Personel_DLF0377,Bilişim / Finans,0.0,137.0,346,0.0,0.13
EIS0041,Personel_EIS0041,Bilişim / Finans,1909.0,162.0,2173,210.0,0.26
DID0650,Personel_DID0650,Bilişim / Finans,0.0,0.0,346,0.0,0.26
HWW0436,Personel_HWW0436,Bilişim / Finans,199.0,191.0,419,62.0,0.5
AOK0844,Personel_AOK0844,Bilişim / Finans,150.0,14.0,833,86.0,0.85
OCS0865,Personel_OCS0865,Bilişim / Finans,160.0,602.0,364,57.0,0.0
MAW0166,Personel_MAW0166,Bilişim / Finans,0.0,0.0,346,0.0,0.25
HCC0344,Personel_HCC0344,Bilişim / Finans,0.0,37.0,692,0.0,0.13
TJG0582,Personel_TJG0582,Bilişim / Finans,0.0,0.0,692,0.0,0.04
AQD0820,Personel_AQD0820,Bilişim / Finans,0.0,98.0,692,0.0,0.03
BJP0134,Personel_BJP0134,Bilişim / Finans,32.0,14.0,358,420.0,0.0
GDF0704,Personel_GDF0704,Bilişim / Finans,0.0,10.0,352,0.0,0.55
SAP0867,Personel_SAP0867,Bilişim / Finans,0.0,0.0,153,0.0,0.26
NBC0412,Personel_NBC0412,Bilişim / Finans,0.0,181.0,539,0.0,0.05
RDM0115,Personel_RDM0115,Bilişim / Finans,0.0,111.0,346,0.0,1.86
HAM0985,Personel_HAM0985,Bilişim / Finans,0.0,178.0,357,0.0,0.12
MBG0438,Personel_MBG0438,Bilişim / Finans,0.0,60.0,235,0.0,2.55
BBG0325,Personel_BBG0325,Bilişim / Finans,109.0,185.0,366,16.0,61.09
JCG0316,Personel_JCG0316,Bilişim / Finans,239.0,200.0,406,137.0,0.01
MHG0733,Personel_MHG0733,Bilişim / Finans,0.0,0.0,346,0.0,21.17
CCH0685,Personel_CCH0685,Bilişim / Finans,0.0,151.0,509,0.0,0.04
GNS0178,Personel_GNS0178,Bilişim / Finans,55.0,133.0,775,151.0,0.0
ONW0083,Personel_ONW0083,Bilişim / Finans,0.0,12.0,346,0.0,17.87
WGR0833,Personel_WGR0833,Bilişim / Finans,0.0,0.0,692,0.0,0.09
JOL0024,Personel_JOL0024,Bilişim / Finans,0.0,133.0,355,0.0,0.86
JRF0835,Personel_JRF0835,Bilişim / Finans,0.0,12.0,692,0.0,0.05
MCS0035,Personel_MCS0035,Bilişim / Finans,0.0,0.0,346,0.0,0.36
RRA0938,Personel_RRA0938,Bilişim / Finans,0.0,121.0,347,0.0,5.83
CAA0612,Personel_CAA0612,Bilişim / Finans,26.0,321.0,346,36.0,0.0
TEM0977,Personel_TEM0977,Bilişim / Finans,0.0,0.0,524,0.0,0.04
BSH0445,Personel_BSH0445,Bilişim / Finans,0.0,103.0,346,0.0,0.91
FKB0163,Personel_FKB0163,Bilişim / Finans,0.0,113.0,346,0.0,2.04
HDH0928,Personel_HDH0928,Bilişim / Finans,217.0,68.0,692,99.0,0.05
HPH0075,Personel_HPH0075,Bilişim / Finans,847.0,258.0,404,540.0,0.1
HCS0003,Personel_HCS0003,Bilişim / Finans,93.0,976.0,346,205.0,0.01
RNF0765,Personel_RNF0765,Bilişim / Finans,0.0,0.0,346,0.0,0.22
KRL0062,Personel_KRL0062,Bilişim / Finans,0.0,0.0,346,0.0,3.01
MVB0515,Personel_MVB0515,Bilişim / Finans,6.0,62.0,160,99.0,0.0
LAF0991,Personel_LAF0991,Bilişim / Finans,0.0,217.0,346,0.0,0.49
KBP0008,Personel_KBP0008,Bilişim / Finans,0.0,460.0,412,0.0,0.02
AJL0462,Personel_AJL0462,Bilişim / Finans,0.0,7.0,605,0.0,0.14
DLS0383,Personel_DLS0383,Bilişim / Finans,0.0,334.0,346,0.0,0.0
CHG0146,Personel_CHG0146,Bilişim / Finans,0.0,152.0,346,0.0,0.58
MAH0864,Personel_MAH0864,Bilişim / Finans,0.0,169.0,353,0.0,0.26
BTS0011,Personel_BTS0011,Bilişim / Finans,0.0,229.0,346,0.0,0.08
PTH0552,Personel_PTH0552,Bilişim / Finans,0.0,140.0,524,0.0,0.01
ROB0272,Personel_ROB0272,Bilişim / Finans,0.0,0.0,345,0.0,36.51
CSC0217,Personel_CSC0217,Bilişim / Finans,2.0,0.0,719,1.0,73.9
RUM0880,Personel_RUM0880,Bilişim / Finans,192.0,441.0,427,138.0,0.0
DKB0631,Personel_DKB0631,Bilişim / Finans,0.0,55.0,346,0.0,1.2
ASB0796,Personel_ASB0796,Bilişim / Finans,0.0,85.0,265,0.0,5.29
NGO0690,Personel_NGO0690,Bilişim / Finans,0.0,150.0,520,0.0,0.33
FFC0891,Personel_FFC0891,Bilişim / Finans,25.0,35.0,256,61.0,0.2
WLV0566,Personel_WLV0566,Bilişim / Finans,0.0,51.0,349,0.0,7.49
CSJ0340,Personel_CSJ0340,Bilişim / Finans,0.0,20.0,692,0.0,0.07
JPW0741,Personel_JPW0741,Bilişim / Finans,0.0,0.0,346,0.0,7.28
ALB0892,Personel_ALB0892,Bilişim / Finans,0.0,11.0,235,0.0,0.58
RMS0266,Personel_RMS0266,Bilişim / Finans,0.0,0.0,346,0.0,0.29
HTF0641,Personel_HTF0641,Bilişim / Finans,0.0,68.0,346,0.0,1.31
MOS0047,Personel_MOS0047,Bilişim / Finans,1060.0,51.0,1170,86.0,99.97
PMV0850,Personel_PMV0850,Bilişim / Finans,121.0,2.0,775,32.0,46.4
ESJ0670,Personel_ESJ0670,Bilişim / Finans,38.0,82.0,481,182.0,0.0
TLM0797,Personel_TLM0797,Bilişim / Finans,0.0,229.0,346,0.0,0.21
SRH0155,Personel_SRH0155,Bilişim / Finans,0.0,241.0,461,0.0,0.0
UCS0227,Personel_UCS0227,Bilişim / Finans,0.0,0.0,692,0.0,2.34
HGN0287,Personel_HGN0287,Bilişim / Finans,0.0,127.0,346,0.0,6.71
GTD0898,Personel_GTD0898,Bilişim / Finans,0.0,0.0,346,0.0,0.14
HDD0789,Personel_HDD0789,Bilişim / Finans,0.0,104.0,351,0.0,1.41
CKB0482,Personel_CKB0482,Bilişim / Finans,0.0,0.0,346,0.0,2.19
RAM0447,Personel_RAM0447,Bilişim / Finans,0.0,9.0,691,0.0,0.09
EFS0882,Personel_EFS0882,Bilişim / Finans,0.0,0.0,346,0.0,0.18
ARB0881,Personel_ARB0881,Bilişim / Finans,0.0,48.0,346,0.0,1.33
ILR0304,Personel_ILR0304,Bilişim / Finans,0.0,4.0,326,0.0,0.28
DAR0885,Personel_DAR0885,Bilişim / Finans,0.0,5.0,55,0.0,1.09
BAK0964,Personel_BAK0964,Bilişim / Finans,0.0,4.0,346,0.0,0.69
KCF0045,Personel_KCF0045,Bilişim / Finans,0.0,71.0,2150,0.0,0.0
BCB0679,Personel_BCB0679,Bilişim / Finans,0.0,255.0,314,0.0,0.13
CCA0046,Personel_CCA0046,Bilişim / Finans,1042.0,45.0,1243,122.0,99.9
CNB0900,Personel_CNB0900,Bilişim / Finans,0.0,0.0,346,0.0,0.14
SLB0049,Personel_SLB0049,Bilişim / Finans,0.0,227.0,346,0.0,0.16
HRW0550,Personel_HRW0550,Bilişim / Finans,0.0,104.0,535,0.0,0.02
MLP0668,Personel_MLP0668,Bilişim / Finans,0.0,248.0,346,0.0,1.01
RFP0380,Personel_RFP0380,Bilişim / Finans,0.0,115.0,346,0.0,1.33
SAK0375,Personel_SAK0375,Bilişim / Finans,0.0,274.0,2185,0.0,29.9
PMC0328,Personel_PMC0328,Bilişim / Finans,231.0,37.0,692,37.0,70.78
KQS0415,Personel_KQS0415,Bilişim / Finans,0.0,106.0,543,0.0,0.21
MYD0978,Personel_MYD0978,Bilişim / Finans,14.0,58.0,411,3.0,93.5
DIC0988,Personel_DIC0988,Bilişim / Finans,0.0,0.0,692,0.0,0.72
MDH0580,Personel_MDH0580,Bilişim / Finans,101.0,13.0,592,38.0,65.29
NNA0610,Personel_NNA0610,Bilişim / Finans,0.0,0.0,346,0.0,18.58
SBH0537,Personel_SBH0537,Bilişim / Finans,5.0,279.0,395,25.0,0.03
TTD1000,Personel_TTD1000,Bilişim / Finans,0.0,94.0,692,0.0,0.09
FRR0832,Personel_FRR0832,Bilişim / Finans,0.0,12.0,692,0.0,0.05
SED0886,Personel_SED0886,Bilişim / Finans,0.0,57.0,405,0.0,0.25
PDH0716,Personel_PDH0716,Bilişim / Finans,207.0,25.0,358,114.0,0.01
NMF0780,Personel_NMF0780,Bilişim / Finans,0.0,41.0,346,0.0,0.46
HRL0540,Personel_HRL0540,Bilişim / Finans,1810.0,157.0,383,108.0,0.0
WAB0143,Personel_WAB0143,Bilişim / Finans,0.0,0.0,254,0.0,0.28
MFV0897,Personel_MFV0897,Bilişim / Finans,0.0,0.0,346,0.0,0.15
MKL0941,Personel_MKL0941,Bilişim / Finans,0.0,0.0,346,0.0,39.56
IAT0263,Personel_IAT0263,Bilişim / Finans,0.0,70.0,186,0.0,8.82
LDG0459,Personel_LDG0459,Bilişim / Finans,34.0,6.0,590,28.0,41.7
MAD0496,Personel_MAD0496,Bilişim / Finans,0.0,12.0,118,0.0,0.49
CJH0702,Personel_CJH0702,Bilişim / Finans,0.0,0.0,346,0.0,0.34
BTN0061,Personel_BTN0061,Bilişim / Finans,0.0,98.0,800,0.0,0.03
TMA0069,Personel_TMA0069,Bilişim / Finans,0.0,64.0,554,0.0,0.13
CTR0697,Personel_CTR0697,Bilişim / Finans,0.0,20.0,354,0.0,0.58
HPR0585,Personel_HPR0585,Bilişim / Finans,0.0,23.0,692,0.0,0.06
SOG0411,Personel_SOG0411,Bilişim / Finans,0.0,185.0,537,0.0,0.04
DDM0579,Personel_DDM0579,Bilişim / Finans,0.0,0.0,692,0.0,0.04
OJK0233,Personel_OJK0233,Bilişim / Finans,0.0,75.0,692,0.0,0.01
HSP0290,Personel_HSP0290,Bilişim / Finans,0.0,10.0,345,0.0,0.67
EJW0884,Personel_EJW0884,Bilişim / Finans,0.0,12.0,346,0.0,0.23
JMW0638,Personel_JMW0638,Bilişim / Finans,0.0,28.0,346,0.0,0.73
ILH0958,Personel_ILH0958,Bilişim / Finans,70.0,13.0,441,174.0,0.0
SPA0141,Personel_SPA0141,Bilişim / Finans,0.0,184.0,482,0.0,0.07
KRG0158,Personel_KRG0158,Bilişim / Finans,0.0,232.0,346,0.0,0.03
KES0729,Personel_KES0729,Bilişim / Finans,0.0,146.0,351,0.0,0.28
ALH0402,Personel_ALH0402,Bilişim / Finans,0.0,100.0,692,0.0,0.1
CTA0020,Personel_CTA0020,Bilişim / Finans,758.0,146.0,696,28.0,0.05
MAD0753,Personel_MAD0753,Bilişim / Finans,0.0,145.0,346,0.0,0.4
AAF0535,Personel_AAF0535,Bilişim / Finans,1.0,25.0,82,15.0,93.37
CSP0197,Personel_CSP0197,Bilişim / Finans,0.0,192.0,731,0.0,3.92
AHM0410,Personel_AHM0410,Bilişim / Finans,90.0,98.0,620,131.0,0.01
PTH0830,Personel_PTH0830,Bilişim / Finans,0.0,9.0,850,0.0,0.03
ASS0517,Personel_ASS0517,Bilişim / Finans,0.0,30.0,157,0.0,1.42
YEV0793,Personel_YEV0793,Bilişim / Finans,0.0,124.0,346,0.0,1.26
CRO0027,Personel_CRO0027,Bilişim / Finans,0.0,27.0,364,0.0,7.03
DCC0160,Personel_DCC0160,Bilişim / Finans,0.0,165.0,692,0.0,0.01
NRF0137,Personel_NRF0137,Bilişim / Finans,0.0,0.0,523,0.0,0.65
HLM0933,Personel_HLM0933,Bilişim / Finans,0.0,53.0,346,0.0,12.27
AMV0036,Personel_AMV0036,Bilişim / Finans,0.0,0.0,346,0.0,0.36
MAS0025,Personel_MAS0025,Bilişim / Finans,31.0,0.0,218,2.0,99.84
BBS0039,Personel_BBS0039,Bilişim / Finans,2.0,45.0,1048,1.0,98.66
ORM0669,Personel_ORM0669,Bilişim / Finans,0.0,211.0,368,0.0,0.08
GCG0951,Personel_GCG0951,Bilişim / Finans,0.0,8.0,363,0.0,0.24
BBH0810,Personel_BBH0810,Bilişim / Finans,0.0,0.0,692,0.0,0.68
HDD0806,Personel_HDD0806,Bilişim / Finans,0.0,52.0,991,0.0,15.12
SMH0291,Personel_SMH0291,Bilişim / Finans,0.0,10.0,499,0.0,0.74
NHE0919,Personel_NHE0919,Bilişim / Finans,0.0,93.0,692,0.0,0.11
TSB0437,Personel_TSB0437,Bilişim / Finans,0.0,17.0,346,0.0,0.26
JCR0770,Personel_JCR0770,Bilişim / Finans,0.0,49.0,346,0.0,0.69
FXF0957,Personel_FXF0957,Bilişim / Finans,0.0,2.0,346,0.0,0.53
NKH0807,Personel_NKH0807,Bilişim / Finans,0.0,61.0,692,0.0,0.11
USH0199,Personel_USH0199,Bilişim / Finans,39.0,45.0,352,10.0,99.1
MAE0331,Personel_MAE0331,Bilişim / Finans,0.0,20.0,692,0.0,0.05
KKC0683,Personel_KKC0683,Bilişim / Finans,0.0,0.0,505,0.0,5.7
HWY0038,Personel_HWY0038,Bilişim / Finans,0.0,22.0,698,0.0,25.26
SCB0534,Personel_SCB0534,Bilişim / Finans,0.0,0.0,165,0.0,0.24
MOH0273,Personel_MOH0273,Bilişim / Finans,1133.0,59.0,401,522.0,0.26
HLH0512,Personel_HLH0512,Bilişim / Finans,0.0,57.0,248,0.0,1.79
HCL0651,Personel_HCL0651,Bilişim / Finans,391.0,55.0,359,45.0,30.69
AOS0987,Personel_AOS0987,Bilişim / Finans,0.0,30.0,371,0.0,1.93
KBB0189,Personel_KBB0189,Bilişim / Finans,0.0,18.0,346,0.0,0.72
BBS0422,Personel_BBS0422,Bilişim / Finans,25.0,129.0,810,25.0,0.45
MOP0763,Personel_MOP0763,Bilişim / Finans,0.0,0.0,346,0.0,0.28
IJM0139,Personel_IJM0139,Bilişim / Finans,0.0,0.0,338,0.0,0.66
AAM0658,Personel_AAM0658,Bilişim / Finans,13.0,37.0,234,1.0,98.52
YJF0532,Personel_YJF0532,Bilişim / Finans,0.0,50.0,166,0.0,3.63
CRP0456,Personel_CRP0456,Bilişim / Finans,0.0,12.0,559,0.0,0.24
IKP0472,Personel_IKP0472,Bilişim / Finans,100.0,28.0,787,46.0,4.92
HJS0072,Personel_HJS0072,Bilişim / Finans,5.0,4.0,43,3.0,52.71
WDV0573,Personel_WDV0573,Bilişim / Finans,0.0,15.0,886,0.0,0.03
CTW0500,Personel_CTW0500,Bilişim / Finans,0.0,271.0,346,0.0,0.08
IBS0836,Personel_IBS0836,Bilişim / Finans,154.0,16.0,818,34.0,28.02
CCR0863,Personel_CCR0863,Bilişim / Finans,0.0,0.0,354,0.0,28.45
ZFM0468,Personel_ZFM0468,Bilişim / Finans,0.0,8.0,535,0.0,0.52
GTD0116,Personel_GTD0116,Bilişim / Finans,0.0,47.0,346,0.0,10.02
IMP0530,Personel_IMP0530,Bilişim / Finans,0.0,33.0,161,0.0,1.98
HWM0342,Personel_HWM0342,Bilişim / Finans,0.0,14.0,700,0.0,0.04
SLT0907,Personel_SLT0907,Bilişim / Finans,0.0,13.0,173,0.0,0.75
ABC0174,Personel_ABC0174,Bilişim / Finans,245.0,61.0,296,40.0,98.8
NSC0597,Personel_NSC0597,Bilişim / Finans,0.0,11.0,704,0.0,0.05
MTB0620,Personel_MTB0620,Bilişim / Finans,262.0,400.0,346,118.0,0.0
EZH0736,Personel_EZH0736,Bilişim / Finans,0.0,38.0,346,0.0,4.4
CKD0680,Personel_CKD0680,Bilişim / Finans,0.0,122.0,346,0.0,1.28
KJM0887,Personel_KJM0887,Bilişim / Finans,0.0,47.0,346,0.0,1.13
HKB0418,Personel_HKB0418,Bilişim / Finans,0.0,0.0,505,0.0,3.59
BKW0374,Personel_BKW0374,Bilişim / Finans,0.0,114.0,2081,0.0,75.02
ESA0642,Personel_ESA0642,Bilişim / Finans,0.0,0.0,346,0.0,0.16
MCF0600,Personel_MCF0600,Bilişim / Finans,72.0,2.0,516,7.0,98.89
CBG0398,Personel_CBG0398,Bilişim / Finans,0.0,161.0,692,0.0,0.16
LQC0479,Personel_LQC0479,Bilişim / Finans,18.0,0.0,205,2.0,98.06
RIH0777,Personel_RIH0777,Bilişim / Finans,0.0,34.0,346,0.0,0.37
AHC0142,Personel_AHC0142,Bilişim / Finans,0.0,275.0,405,0.0,0.06
TSM0363,Personel_TSM0363,Bilişim / Finans,0.0,113.0,2183,0.0,99.63
RHC0335,Personel_RHC0335,Bilişim / Finans,0.0,0.0,692,0.0,0.08
EIP0997,Personel_EIP0997,Bilişim / Finans,0.0,0.0,692,0.0,0.05
CAC0889,Personel_CAC0889,Bilişim / Finans,0.0,2.0,60,0.0,0.88
HIW0536,Personel_HIW0536,Bilişim / Finans,0.0,64.0,692,0.0,0.01
RAS0432,Personel_RAS0432,Bilişim / Finans,0.0,141.0,346,0.0,1.37
JOM0750,Personel_JOM0750,Bilişim / Finans,0.0,0.0,346,0.0,0.15
CIM0926,Personel_CIM0926,Bilişim / Finans,0.0,11.0,460,0.0,0.22
GAF0060,Personel_GAF0060,Bilişim / Finans,0.0,134.0,692,0.0,0.02
JDC0030,Personel_JDC0030,Bilişim / Finans,55.0,493.0,974,44.0,0.0
OLW0689,Personel_OLW0689,Bilişim / Finans,155.0,106.0,510,68.0,1.75
ADD0846,Personel_ADD0846,Bilişim / Finans,0.0,5.0,692,0.0,0.04
DVW0103,Personel_DVW0103,Bilişim / Finans,0.0,0.0,346,0.0,12.37
JMK0099,Personel_JMK0099,Bilişim / Finans,48.0,164.0,394,35.0,1.53
WAS0254,Personel_WAS0254,Bilişim / Finans,0.0,65.0,346,0.0,5.48
GQP0743,Personel_GQP0743,Bilişim / Finans,0.0,321.0,346,0.0,0.01
JJH0613,Personel_JJH0613,Bilişim / Finans,285.0,376.0,374,100.0,0.0
KDT0346,Personel_KDT0346,Bilişim / Finans,0.0,20.0,694,0.0,0.04
MCD0125,Personel_MCD0125,Bilişim / Finans,20.0,66.0,391,22.0,23.42
NCH0179,Personel_NCH0179,Bilişim / Finans,0.0,163.0,692,0.0,0.02
ZSL0305,Personel_ZSL0305,Bilişim / Finans,0.0,7.0,334,0.0,0.5
LCD0622,Personel_LCD0622,Bilişim / Finans,0.0,0.0,346,0.0,0.19
LHN0151,Personel_LHN0151,Bilişim / Finans,0.0,49.0,346,0.0,0.71
PNH0761,Personel_PNH0761,Bilişim / Finans,10.0,20.0,460,133.0,0.0
FOB0756,Personel_FOB0756,Bilişim / Finans,20.0,47.0,442,8.0,93.71
BJH0811,Personel_BJH0811,Bilişim / Finans,0.0,0.0,692,0.0,0.13
NAF0033,Personel_NAF0033,Bilişim / Finans,0.0,102.0,344,0.0,0.52
DEB0782,Personel_DEB0782,Bilişim / Finans,0.0,26.0,346,0.0,0.59
LJB0826,Personel_LJB0826,Bilişim / Finans,0.0,10.0,692,0.0,0.05
OLB0749,Personel_OLB0749,Bilişim / Finans,0.0,0.0,98,0.0,0.39
RCP0785,Personel_RCP0785,Bilişim / Finans,0.0,0.0,346,0.0,0.12
CRK0916,Personel_CRK0916,Bilişim / Finans,0.0,20.0,739,0.0,0.21
MHG0244,Personel_MHG0244,Bilişim / Finans,0.0,0.0,346,0.0,4.08
MMG0943,Personel_MMG0943,Bilişim / Finans,0.0,186.0,500,0.0,0.07
IIW0249,Personel_IIW0249,Bilişim / Finans,689.0,26.0,457,31.0,89.52
SOF0808,Personel_SOF0808,Bilişim / Finans,0.0,78.0,692,0.0,0.04
WNB0908,Personel_WNB0908,Bilişim / Finans,0.0,54.0,346,0.0,0.82
HAV0121,Personel_HAV0121,Bilişim / Finans,0.0,0.0,346,0.0,0.13
MKP0861,Personel_MKP0861,Bilişim / Finans,0.0,544.0,360,0.0,0.02
NWT0098,Personel_NWT0098,Bilişim / Finans,194.0,130.0,319,40.0,89.96
KNG0672,Personel_KNG0672,Bilişim / Finans,0.0,120.0,301,0.0,9.57
CWB0065,Personel_CWB0065,Bilişim / Finans,0.0,94.0,419,0.0,1.04
RLG0856,Personel_RLG0856,Bilişim / Finans,117.0,303.0,399,23.0,0.03
ASD0577,Personel_ASD0577,Bilişim / Finans,0.0,0.0,692,0.0,0.04
SJC0333,Personel_SJC0333,Bilişim / Finans,0.0,43.0,748,0.0,0.08
BAJ0654,Personel_BAJ0654,Bilişim / Finans,51.0,27.0,415,164.0,0.0
CGB0637,Personel_CGB0637,Bilişim / Finans,622.0,58.0,346,122.0,0.07
AJH0175,Personel_AJH0175,Bilişim / Finans,29.0,73.0,458,14.0,12.29
GCC0744,Personel_GCC0744,Bilişim / Finans,0.0,0.0,346,0.0,18.78
SOB0360,Personel_SOB0360,Bilişim / Finans,0.0,0.0,1379,0.0,0.08
EHR0096,Personel_EHR0096,Bilişim / Finans,0.0,0.0,346,0.0,13.11
BTL0226,Personel_BTL0226,Bilişim / Finans,16.0,56.0,467,0.0,95.36
BCM0653,Personel_BCM0653,Bilişim / Finans,0.0,31.0,346,0.0,0.59
BDB0453,Personel_BDB0453,Bilişim / Finans,0.0,0.0,673,0.0,0.05
JRG0207,Personel_JRG0207,Bilişim / Finans,46.0,54.0,291,2.0,99.55
CAH0936,Personel_CAH0936,Bilişim / Finans,25.0,102.0,226,3.0,99.66
SJO0209,Personel_SJO0209,Bilişim / Finans,49.0,187.0,419,23.0,0.62
CCM0467,Personel_CCM0467,Bilişim / Finans,0.0,8.0,548,0.0,0.43
BSS0369,Personel_BSS0369,Bilişim / Finans,1464.0,29.0,1397,135.0,99.82
JAJ0849,Personel_JAJ0849,Bilişim / Finans,0.0,9.0,1019,0.0,0.02
BMT0528,Personel_BMT0528,Bilişim / Finans,4.0,68.0,163,121.0,0.0
PEV0323,Personel_PEV0323,Bilişim / Finans,0.0,139.0,456,0.0,0.01
CJF0802,Personel_CJF0802,Bilişim / Finans,0.0,121.0,459,0.0,0.01
JDB0169,Personel_JDB0169,Bilişim / Finans,1012.0,37.0,346,443.0,0.2
CAN0842,Personel_CAN0842,Bilişim / Finans,0.0,0.0,692,0.0,0.04
HRD0635,Personel_HRD0635,Bilişim / Finans,0.0,7.0,116,0.0,0.76
SGS0268,Personel_SGS0268,Bilişim / Finans,0.0,65.0,346,0.0,12.48
YIC0195,Personel_YIC0195,Bilişim / Finans,0.0,229.0,751,0.0,0.24
AAW0353,Personel_AAW0353,Bilişim / Finans,0.0,0.0,578,0.0,0.13
JFC0557,Personel_JFC0557,Bilişim / Finans,27.0,193.0,345,195.0,0.0
DJS0682,Personel_DJS0682,Bilişim / Finans,0.0,0.0,495,0.0,0.36
ALC0788,Personel_ALC0788,Bilişim / Finans,0.0,44.0,692,0.0,0.07
SAC0592,Personel_SAC0592,Bilişim / Finans,0.0,13.0,692,0.0,0.05
COF0120,Personel_COF0120,Bilişim / Finans,0.0,108.0,335,0.0,0.86
MIM0712,Personel_MIM0712,Bilişim / Finans,0.0,12.0,346,0.0,0.72
JIM0095,Personel_JIM0095,Bilişim / Finans,0.0,75.0,346,0.0,3.0
ZJE0857,Personel_ZJE0857,Bilişim / Finans,0.0,139.0,392,0.0,0.25
TYB0779,Personel_TYB0779,Bilişim / Finans,0.0,39.0,346,0.0,0.4
GMF0738,Personel_GMF0738,Bilişim / Finans,0.0,0.0,346,0.0,0.04
RAW0915,Personel_RAW0915,Bilişim / Finans,207.0,94.0,849,27.0,1.76
FRL0511,Personel_FRL0511,Bilişim / Finans,0.0,60.0,157,0.0,8.97
WGS0516,Personel_WGS0516,Bilişim / Finans,0.0,0.0,159,0.0,0.24
SAH0599,Personel_SAH0599,Bilişim / Finans,0.0,13.0,692,0.0,0.06
SVL0803,Personel_SVL0803,Bilişim / Finans,0.0,76.0,346,0.0,4.38
EPW0434,Personel_EPW0434,Bilişim / Finans,0.0,112.0,346,0.0,7.07
ASG0692,Personel_ASG0692,Bilişim / Finans,0.0,38.0,516,0.0,2.05
SSH0799,Personel_SSH0799,Bilişim / Finans,0.0,111.0,387,0.0,0.27
MSS0001,Personel_MSS0001,Bilişim / Finans,0.0,176.0,346,0.0,0.0
CAM0102,Personel_CAM0102,Bilişim / Finans,0.0,0.0,346,0.0,0.42
SKG0759,Personel_SKG0759,Bilişim / Finans,0.0,53.0,346,0.0,0.71
JAV0361,Personel_JAV0361,Bilişim / Finans,0.0,108.0,2181,0.0,23.63
UFK0208,Personel_UFK0208,Bilişim / Finans,0.0,108.0,382,0.0,0.47
RSC0089,Personel_RSC0089,Bilişim / Finans,1027.0,76.0,540,62.0,0.07
ECR0822,Personel_ECR0822,Bilişim / Finans,0.0,0.0,692,0.0,0.04
